ㄉㄨ tu1
ㄉㄨˇ tu3
ㄉㄨˊ tu2
ㄉㄨˋ tu4
ㄉㄨ˙ tu0
ㄉㄨㄛ tʊɔ1
ㄉㄨㄛˇ tʊɔ3
ㄉㄨㄛˊ tʊɔ2
ㄉㄨㄛˋ tʊɔ4
ㄉㄨㄛ˙ tʊɔ0
ㄉㄨㄟ tuei1
ㄉㄨㄟˇ tuei3
ㄉㄨㄟˊ tuei2
ㄉㄨㄟˋ tuei4
ㄉㄨㄟ˙ tuei0
ㄉㄨㄢ tuan1
ㄉㄨㄢˇ tuan3
ㄉㄨㄢˊ tuan2
ㄉㄨㄢˋ tuan4
ㄉㄨㄢ˙ tuan0
ㄉㄨㄣ tʊn1
ㄉㄨㄣˇ tʊn3
ㄉㄨㄣˊ tʊn2
ㄉㄨㄣˋ tʊn4
ㄉㄨㄣ˙ tʊn0
ㄉㄨㄥ tɔŋ1
ㄉㄨㄥˇ tɔŋ3
ㄉㄨㄥˊ tɔŋ2
ㄉㄨㄥˋ tɔŋ4
ㄉㄨㄥ˙ tɔŋ0
ㄊㄚ tʰɑ1
ㄊㄚˇ tʰɑ3
ㄊㄚˊ tʰɑ2
ㄊㄚˋ tʰɑ4
ㄊㄚ˙ tʰɑ0
ㄊㄜ tʰə1
ㄊㄜˇ tʰə3
ㄊㄜˊ tʰə2
ㄊㄜˋ tʰə4
ㄊㄜ˙ tʰə0
ㄊㄞ tʰai1
ㄊㄞˇ tʰai3
ㄊㄞˊ tʰai2
ㄊㄞˋ tʰai4
ㄊㄞ˙ tʰai0
ㄊㄟ tʰei1
ㄊㄟˇ tʰei3
ㄊㄟˊ tʰei2
ㄊㄟˋ tʰei4
ㄊㄟ˙ tʰei0
ㄊㄠ tʰɑu1
ㄊㄠˇ tʰɑu3
ㄊㄠˊ tʰɑu2
ㄊㄠˋ tʰɑu4
ㄊㄠ˙ tʰɑu0
ㄊㄡ tʰou1
ㄊㄡˇ tʰou3
ㄊㄡˊ tʰou2
ㄊㄡˋ tʰou4
ㄊㄡ˙ tʰou0
ㄊㄢ tʰan1
ㄊㄢˇ tʰan3
ㄊㄢˊ tʰan2
ㄊㄢˋ tʰan4
ㄊㄢ˙ tʰan0
ㄊㄤ tʰɑŋ1
ㄊㄤˇ tʰɑŋ3
ㄊㄤˊ tʰɑŋ2
ㄊㄤˋ tʰɑŋ4
ㄊㄤ˙ tʰɑŋ0
ㄊㄥ tʰəŋ1
ㄊㄥˇ tʰəŋ3
ㄊㄥˊ tʰəŋ2
ㄊㄥˋ tʰəŋ4
ㄊㄥ˙ tʰəŋ0
ㄊㄧ tʰi1
ㄊㄧˇ tʰi3
ㄊㄧˊ tʰi2
ㄊㄧˋ tʰi4
ㄊㄧ˙ tʰi0
ㄊㄧㄝ tʰiɛ1
ㄊㄧㄝˇ tʰiɛ3
ㄊㄧㄝˊ tʰiɛ2
ㄊㄧㄝˋ tʰiɛ4
ㄊㄧㄝ˙ tʰiɛ0
ㄊㄧㄠ tʰiɑu1
ㄊㄧㄠˇ tʰiɑu3
ㄊㄧㄠˊ tʰiɑu2
ㄊㄧㄠˋ tʰiɑu4
ㄊㄧㄠ˙ tʰiɑu0
ㄊㄧㄢ tʰiɛn1
ㄊㄧㄢˇ tʰiɛn3
ㄊㄧㄢˊ tʰiɛn2
ㄊㄧㄢˋ tʰiɛn4
ㄊㄧㄢ˙ tʰiɛn0
ㄊㄧㄥ tʰiŋ1
ㄊㄧㄥˇ tʰiŋ3
ㄊㄧㄥˊ tʰiŋ2
ㄊㄧㄥˋ tʰiŋ4
ㄊㄧㄥ˙ tʰiŋ0
ㄊㄨ tʰu1
ㄊㄨˇ tʰu3
ㄊㄨˊ tʰu2
ㄊㄨˋ tʰu4
ㄊㄨ˙ tʰu0
ㄊㄨㄛ tʰʊɔ1
ㄊㄨㄛˇ tʰʊɔ3
ㄊㄨㄛˊ tʰʊɔ2
ㄊㄨㄛˋ tʰʊɔ4
ㄊㄨㄛ˙ tʰʊɔ0
ㄊㄨㄟ tʰuei1
ㄊㄨㄟˇ tʰuei3
ㄊㄨㄟˊ tʰuei2
ㄊㄨㄟˋ tʰuei4
ㄊㄨㄟ˙ tʰuei0
ㄊㄨㄢ tʰuan1
ㄊㄨㄢˇ tʰuan3
ㄊㄨㄢˊ tʰuan2
ㄊㄨㄢˋ tʰuan4
ㄊㄨㄢ˙ tʰuan0
ㄊㄨㄣ tʰʊn1
ㄊㄨㄣˇ tʰʊn3
ㄊㄨㄣˊ tʰʊn2
ㄊㄨㄣˋ tʰʊn4
ㄊㄨㄣ˙ tʰʊn0
ㄊㄨㄥ tʰɔŋ1
ㄊㄨㄥˇ tʰɔŋ3
ㄊㄨㄥˊ tʰɔŋ2
ㄊㄨㄥˋ tʰɔŋ4
ㄊㄨㄥ˙ tʰɔŋ0
ㄋㄚ nɑ1
ㄋㄚˇ nɑ3
ㄋㄚˊ nɑ2
ㄋㄚˋ nɑ4
ㄋㄚ˙ nɑ0
ㄋㄜ nə1
ㄋㄜˇ nə3
ㄋㄜˊ nə2
ㄋㄜˋ nə4
ㄋㄜ˙ nə0
ㄋㄞ nai1
ㄋㄞˇ nai3
ㄋㄞˊ nai2
ㄋㄞˋ nai4
ㄋㄞ˙ nai0
ㄋㄟ nei1
ㄋㄟˇ nei3
ㄋㄟˊ nei2
ㄋㄟˋ nei4
ㄋㄟ˙ nei0
ㄋㄠ nɑu1
ㄋㄠˇ nɑu3
ㄋㄠˊ nɑu2
ㄋㄠˋ nɑu4
ㄋㄠ˙ nɑu0
ㄋㄡ nou1
ㄋㄡˇ nou3
ㄋㄡˊ nou2
ㄋㄡˋ nou4
ㄋㄡ˙ nou0
ㄋㄢ nan1
ㄋㄢˇ nan3
ㄋㄢˊ nan2
ㄋㄢˋ nan4
ㄋㄢ˙ nan0
ㄋㄣ nən1
ㄋㄣˇ nən3
ㄋㄣˊ nən2
ㄋㄣˋ nən4
ㄋㄣ˙ nən0
ㄋㄤ nɑŋ1
ㄋㄤˇ nɑŋ3
ㄋㄤˊ nɑŋ2
ㄋㄤˋ nɑŋ4
ㄋㄤ˙ nɑŋ0
ㄋㄥ nəŋ1
ㄋㄥˇ nəŋ3
ㄋㄥˊ nəŋ2
ㄋㄥˋ nəŋ4
ㄋㄥ˙ nəŋ0
ㄋㄧ ni1
ㄋㄧˇ ni3
ㄋㄧˊ ni2
ㄋㄧˋ ni4
ㄋㄧ˙ ni0
ㄋㄧㄝ niɛ1
ㄋㄧㄝˇ niɛ3
ㄋㄧㄝˊ niɛ2
ㄋㄧㄝˋ niɛ4
ㄋㄧㄝ˙ niɛ0
ㄋㄧㄠ niɑu1
ㄋㄧㄠˇ niɑu3
ㄋㄧㄠˊ niɑu2
ㄋㄧㄠˋ niɑu4
ㄋㄧㄠ˙ niɑu0
ㄋㄧㄡ niou1
ㄋㄧㄡˇ niou3
ㄋㄧㄡˊ niou2
ㄋㄧㄡˋ niou4
ㄋㄧㄡ˙ niou0
ㄋㄧㄢ niɛn1
ㄋㄧㄢˇ niɛn3
ㄋㄧㄢˊ niɛn2
ㄋㄧㄢˋ niɛn4
ㄋㄧㄢ˙ niɛn0
ㄋㄧㄣ nin1
ㄋㄧㄣˇ nin3
ㄋㄧㄣˊ nin2
ㄋㄧㄣˋ nin4
ㄋㄧㄣ˙ nin0
ㄋㄧㄤ niɑŋ1
ㄋㄧㄤˇ niɑŋ3
ㄋㄧㄤˊ niɑŋ2
ㄋㄧㄤˋ niɑŋ4
ㄋㄧㄤ˙ niɑŋ0
ㄋㄧㄥ niŋ1
ㄋㄧㄥˇ niŋ3
ㄋㄧㄥˊ niŋ2
ㄋㄧㄥˋ niŋ4
ㄋㄧㄥ˙ niŋ0
ㄋㄨ nu1
ㄋㄨˇ nu3
ㄋㄨˊ nu2
ㄋㄨˋ nu4
ㄋㄨ˙ nu0
ㄋㄨㄛ nʊɔ1
ㄋㄨㄛˇ nʊɔ3
ㄋㄨㄛˊ nʊɔ2
ㄋㄨㄛˋ nʊɔ4
ㄋㄨㄛ˙ nʊɔ0
ㄋㄨㄢ nuan1
ㄋㄨㄢˇ nuan3
ㄋㄨㄢˊ nuan2
ㄋㄨㄢˋ nuan4
ㄋㄨㄢ˙ nuan0
ㄋㄨㄥ nɔŋ1
ㄋㄨㄥˇ nɔŋ3
ㄋㄨㄥˊ nɔŋ2
ㄋㄨㄥˋ nɔŋ4
ㄋㄨㄥ˙ nɔŋ0
ㄋㄩ ny1
ㄋㄩˇ ny3
ㄋㄩˊ ny2
ㄋㄩˋ ny4
ㄋㄩ˙ ny0
ㄋㄩㄝ nyɛ1
ㄋㄩㄝˇ nyɛ3
ㄋㄩㄝˊ nyɛ2
ㄋㄩㄝˋ nyɛ4
ㄋㄩㄝ˙ nyɛ0
ㄌㄚ lɑ1
ㄌㄚˇ lɑ3
ㄌㄚˊ lɑ2
ㄌㄚˋ lɑ4
ㄌㄚ˙ lɑ0
ㄌㄛ lɔ1
ㄌㄛˇ lɔ3
ㄌㄛˊ lɔ2
ㄌㄛˋ lɔ4
ㄌㄛ˙ lɔ0
ㄌㄜ lə1
ㄌㄜˇ lə3
ㄌㄜˊ lə2
ㄌㄜˋ lə4
ㄌㄜ˙ lə0
ㄌㄞ lai1
ㄌㄞˇ lai3
ㄌㄞˊ lai2
ㄌㄞˋ lai4
ㄌㄞ˙ lai0
ㄌㄟ lei1
ㄌㄟˇ lei3
ㄌㄟˊ lei2
ㄌㄟˋ lei4
ㄌㄟ˙ lei0
ㄌㄠ lɑu1
ㄌㄠˇ lɑu3
ㄌㄠˊ lɑu2
ㄌㄠˋ lɑu4
ㄌㄠ˙ lɑu0
ㄌㄡ lou1
ㄌㄡˇ lou3
ㄌㄡˊ lou2
ㄌㄡˋ lou4
ㄌㄡ˙ lou0
ㄌㄢ lan1
ㄌㄢˇ lan3
ㄌㄢˊ lan2
ㄌㄢˋ lan4
ㄌㄢ˙ lan0
ㄌㄤ lɑŋ1
ㄌㄤˇ lɑŋ3
ㄌㄤˊ lɑŋ2
ㄌㄤˋ lɑŋ4
ㄌㄤ˙ lɑŋ0
ㄌㄥ ləŋ1
ㄌㄥˇ ləŋ3
ㄌㄥˊ ləŋ2
ㄌㄥˋ ləŋ4
ㄌㄥ˙ ləŋ0
ㄌㄧ li1
ㄌㄧˇ li3
ㄌㄧˊ li2
ㄌㄧˋ li4
ㄌㄧ˙ li0
ㄌㄧㄚ liɑ1
ㄌㄧㄚˇ liɑ3
ㄌㄧㄚˊ liɑ2
ㄌㄧㄚˋ liɑ4
ㄌㄧㄚ˙ liɑ0
ㄌㄧㄝ liɛ1
ㄌㄧㄝˇ liɛ3
ㄌㄧㄝˊ liɛ2
ㄌㄧㄝˋ liɛ4
ㄌㄧㄝ˙ liɛ0
ㄌㄧㄠ liɑu1
ㄌㄧㄠˇ liɑu3
ㄌㄧㄠˊ liɑu2
ㄌㄧㄠˋ liɑu4
ㄌㄧㄠ˙ liɑu0
ㄌㄧㄡ liou1
ㄌㄧㄡˇ liou3
ㄌㄧㄡˊ liou2
ㄌㄧㄡˋ liou4
ㄌㄧㄡ˙ liou0
ㄌㄧㄢ liɛn1
ㄌㄧㄢˇ liɛn3
ㄌㄧㄢˊ liɛn2
ㄌㄧㄢˋ liɛn4
ㄌㄧㄢ˙ liɛn0
ㄌㄧㄣ lin1
ㄌㄧㄣˇ lin3
ㄌㄧㄣˊ lin2
ㄌㄧㄣˋ lin4
ㄌㄧㄣ˙ lin0
ㄌㄧㄤ liɑŋ1
ㄌㄧㄤˇ liɑŋ3
ㄌㄧㄤˊ liɑŋ2
ㄌㄧㄤˋ liɑŋ4
ㄌㄧㄤ˙ liɑŋ0
ㄌㄧㄥ liŋ1
ㄌㄧㄥˇ liŋ3
ㄌㄧㄥˊ liŋ2
ㄌㄧㄥˋ liŋ4
ㄌㄧㄥ˙ liŋ0
ㄌㄨ lu1
ㄌㄨˇ lu3
ㄌㄨˊ lu2
ㄌㄨˋ lu4
ㄌㄨ˙ lu0
ㄌㄨㄛ lʊɔ1
ㄌㄨㄛˇ lʊɔ3
ㄌㄨㄛˊ lʊɔ2
ㄌㄨㄛˋ lʊɔ4
ㄌㄨㄛ˙ lʊɔ0
ㄌㄨㄢ luan1
ㄌㄨㄢˇ luan3
ㄌㄨㄢˊ luan2
ㄌㄨㄢˋ luan4
ㄌㄨㄢ˙ luan0
ㄌㄨㄣ lʊn1
ㄌㄨㄣˇ lʊn3
ㄌㄨㄣˊ lʊn2
ㄌㄨㄣˋ lʊn4
ㄌㄨㄣ˙ lʊn0
ㄌㄨㄥ lɔŋ1
ㄌㄨㄥˇ lɔŋ3
ㄌㄨㄥˊ lɔŋ2
ㄌㄨㄥˋ lɔŋ4
ㄌㄨㄥ˙ lɔŋ0
ㄌㄩ ly1
ㄌㄩˇ ly3
ㄌㄩˊ ly2
ㄌㄩˋ ly4
ㄌㄩ˙ ly0
ㄌㄩㄝ lyɛ1
ㄌㄩㄝˇ lyɛ3
ㄌㄩㄝˊ lyɛ2
ㄌㄩㄝˋ lyɛ4
ㄌㄩㄝ˙ lyɛ0
ㄌㄩㄢ lyan1
ㄌㄩㄢˇ lyan3
ㄌㄩㄢˊ lyan2
ㄌㄩㄢˋ lyan4
ㄌㄩㄢ˙ lyan0
ㄌㄩㄣ lyn1
ㄌㄩㄣˇ lyn3
ㄌㄩㄣˊ lyn2
ㄌㄩㄣˋ lyn4
ㄌㄩㄣ˙ lyn0
ㄍㄚ kɑ1
ㄍㄚˇ kɑ3
ㄍㄚˊ kɑ2
ㄍㄚˋ kɑ4
ㄍㄚ˙ kɑ0
ㄍㄜ kə1
ㄍㄜˇ kə3
ㄍㄜˊ kə2
ㄍㄜˋ kə4
ㄍㄜ˙ kə0
ㄍㄞ kai1
ㄍㄞˇ kai3
ㄍㄞˊ kai2
ㄍㄞˋ kai4
ㄍㄞ˙ kai0
ㄍㄟ kei1
ㄍㄟˇ kei3
ㄍㄟˊ kei2
ㄍㄟˋ kei4
ㄍㄟ˙ kei0
ㄍㄠ kɑu1
ㄍㄠˇ kɑu3
ㄍㄠˊ kɑu2
ㄍㄠˋ kɑu4
ㄍㄠ˙ kɑu0
ㄍㄡ kou1
ㄍㄡˇ kou3
ㄍㄡˊ kou2
ㄍㄡˋ kou4
ㄍㄡ˙ kou0
ㄍㄢ kan1
ㄍㄢˇ kan3
ㄍㄢˊ kan2
ㄍㄢˋ kan4
ㄍㄢ˙ kan0
ㄍㄣ kən1
ㄍㄣˇ kən3
ㄍㄣˊ kən2
ㄍㄣˋ kən4
ㄍㄣ˙ kən0
ㄍㄤ kɑŋ1
ㄍㄤˇ kɑŋ3
ㄍㄤˊ kɑŋ2
ㄍㄤˋ kɑŋ4
ㄍㄤ˙ kɑŋ0
ㄍㄥ kəŋ1
ㄍㄥˇ kəŋ3
ㄍㄥˊ kəŋ2
ㄍㄥˋ kəŋ4
ㄍㄥ˙ kəŋ0
ㄍㄨ ku1
ㄍㄨˇ ku3
ㄍㄨˊ ku2
ㄍㄨˋ ku4
ㄍㄨ˙ ku0
ㄍㄨㄚ kuɑ1
ㄍㄨㄚˇ kuɑ3
ㄍㄨㄚˊ kuɑ2
